Handle,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value",SKU,Quantity
sliquid-naturals-swirl-flavoured-lubricants-tangerine-peach,Title,"Sliquid Naturals Swirl Flavoured Lubricants Tangerine Peach 125ml",,,,,NS7246,0
loving-joy-extra-3-inch-penis-extension,Title,"Loving Joy Extra 3 Inch Penis Extension",,,,,N10725,135
loving-joy-mighty-3-inch-penis-extension-with-ball-loop,Title,"Loving Joy Mighty 3 Inch Penis Extension with Ball Loop",,,,,N10726,0
furry-fantasy-rainbow-tail-butt-plug,Title,"Furry Fantasy Rainbow Tail Butt Plug",,,,,N10780,46
bound-noir-nubuck-leather-slim-wrist-cuffs,Title,"Bound Noir Nubuck Leather Slim Wrist Cuffs",,,,,N10781,5
bound-noir-nubuck-leather-riding-crop,Title,"Bound Noir Nubuck Leather Riding Crop",,,,,N10782,1
bound-noir-nubuck-leather-paddle-with-brass-stud-detail,Title,"Bound Noir Nubuck Leather Paddle with Brass Stud Detail",,,,,N10783,2
bound-noir-nubuck-leather-leash,Title,"Bound Noir Nubuck Leather Leash",,,,,N10785,4
loving-joy-anal-douche,Title,"Loving Joy Anal Douche 225ml",,,,,N10796,94
loving-joy-boss-textured-penis-sleeve-with-ball-loop,Title,"Loving Joy Boss Textured Penis Sleeve with Ball Loop",,,,,N10818,1
loving-joy-real-feel-blow-job-stroker,Title,"Loving Joy Real Feel Blow Job Stroker",,,,,N10833,3
furry-fantasy-black-panther-tail-butt-plug,Title,"Furry Fantasy Black Panther Tail Butt Plug",,,,,N10880,0
loving-joy-curved-5-inch-silicone-dildo-with-suction-cup,Title,"Loving Joy Curved 5 Inch Silicone Dildo with Suction Cup",,,,,N10885,42
bound-noir-nubuck-leather-collar-with-o-ring,Title,"Bound Noir Nubuck Leather Collar with O Ring",,,,,N10919,2
bound-to-please-riding-crop,Title,"Bound to Please Riding Crop",,,,,N10924,2
bound-to-please-bamboo-spanking-paddle,Title,"Bound to Please Bamboo Spanking Paddle",,,,,N10925,0
bound-to-please-breathable-ball-gag-red,Title,"Bound to Please Breathable Ball Gag Red",,,,,N10931,0
loving-joy-vita-rechargeable-magic-wand-vibrator,Title,"Loving Joy VITA Rechargeable Magic Wand Vibrator",,,,,N10938,0
loving-joy-anal-douche-160ml,Title,"Loving Joy Anal Douche 160ml",,,,,N10953,185
bound-to-please-silicone-heart-shaped-crop-with-feather-tickler,Title,"Bound to Please Silicone Heart Shaped Crop with Feather Tickler",,,,,N10963,12
realistic-warming-6-5-inch-vibrating-dildo-with-balls,Title,"Realistic Warming 6.5 inch Vibrating Dildo with Balls Brown",,,,,N10994,0
realistic-warming-7-inch-vibrating-dildo,Title,"Realistic Warming 7 inch Vibrating Dildo Brown",,,,,N10995,0
zuyosa-alphaboost-supplement,Title,"Zuyosa Alphaboost Supplement (60 Capsules)",,,,,N11023,0
loving-joy-beginners-bondage-kit-black-8-piece,Title,"Loving Joy Beginner's Bondage Kit Black (8 Piece)",,,,,N11024,65
spectrum-ribbed-glass-dildo,Title,"Spectrum Ribbed Glass Dildo",,,,,N11032,11
spectrum-ribbed-g-spot-glass-dildo,Title,"Spectrum Ribbed G-Spot Glass Dildo",,,,,N11033,0
spectrum-nubby-textured-glass-dildo,Title,"Spectrum Nubby Textured Glass Dildo",,,,,N11034,12
loving-joy-realistic-vagina-and-ass-male-masturbator,Title,"Loving Joy Realistic Vagina and Ass Male Masturbator",,,,,N11035,0
loving-joy-tux-remote-control-couples-cock-ring,Title,"Loving Joy TUX Remote Control Couples Cock Ring",,,,,N11073,0
loving-joy-thick-silicone-cock-rings-3-pack,Title,"Loving Joy Thick Silicone Cock Rings 3 Pack",,,,,N11080,7
lubido-anal-ease-lubricant-30ml,Title,"Lubido Anal Ease Lubricant 30ml",,,,,N11108,0
lubido-hybrid-moisturising-lubricant-30ml,Title,"Lubido Hybrid Moisturising Lubricant 30ml",,,,,N11109,95
loving-joy-6-inch-silicone-inflatable-dildo,Title,"Loving Joy 6 Inch Silicone Inflatable Dildo",,,,,N11134,81
loving-joy-flex-silicone-bendable-rabbit-vibrator,Title,"Loving Joy FLEX Silicone Bendable Rabbit Vibrator",,,,,N11135,0
loving-joy-flux-silicone-bendable-g-spot-vibrator,Title,"Loving Joy FLUX Silicone Bendable G-Spot Vibrator",,,,,N11136,6
loving-joy-rechargeable-silicone-vibrating-cock-ring,Title,"Loving Joy Rechargeable Silicone Vibrating Cock Ring",,,,,N11161,24
fifty-shades-of-grey-inner-goddess-silver-jiggle-balls-67g,Title,"Fifty Shades of Grey Inner Goddess Silver Jiggle Balls 67g",,,,,N11188,0
fifty-shades-of-grey-inner-goddess-glass-pleasure-balls-77g,Title,"Fifty Shades of Grey Inner Goddess Glass Pleasure Balls 77g",,,,,N11189,0.000000
